"","five_year_period","cown","cc3","average_crisis_tally","average_banking_crisis","average_currency_crisis","average_domestic_debt_crisis","average_external_debt_crisis","average_inflation_crisis","average_gdppc","average_pop","average_growth","democracy","independence","gold_standard"
"1",1800,2,"USA",0,0,0,0,0,0,2590.22688,NA,-18.2967466451418,1,1,0
"2",1800,20,"CAN",0,0,0,0,0,0,NA,NA,NA,NA,0,0
"3",1800,42,"DOM",0,0,0,0,0,0,NA,NA,NA,NA,0,0
"4",1800,70,"MEX",0,0,0,0,0,0,1276.2,NA,-19.6341736524534,NA,0,0
"5",1800,90,"GTM",0,0,0,0,0,0,NA,NA,NA,NA,0,0
"6",1800,91,"HND",0,0,0,0,0,0,NA,NA,NA,NA,0,0
"7",1800,92,"SLV",0,0,0,0,0,0,NA,NA,NA,NA,0,0
"8",1800,93,"NIC",0,0,0,0,0,0,NA,NA,NA,NA,0,0
"9",1800,94,"CRI",0,0,0,0,0,0,NA,NA,NA,NA,0,0
"10",1800,95,"PAN",0,0,0,0,0,0,NA,NA,NA,NA,0,NA
"11",1800,100,"COL",0,0,0,0,0,0,942,NA,-92.5053703556369,NA,0,0
"12",1800,101,"VEN",0,0,0,0,0,0,1073,NA,-94.4883912060818,NA,0,0
"13",1800,130,"ECU",0,0,0,0,0,0,NA,NA,NA,NA,0,0
"14",1800,135,"PER",0,0,0,0,0,0,1005.8,NA,-19.1116938666651,NA,0,0
"15",1800,140,"BRA",0,0,0,0,0,0,867,NA,-86.3571990558615,NA,0,0
"16",1800,145,"BOL",0,0,0,0,0,0,NA,NA,NA,NA,0,0
"17",1800,150,"PRY",0,0,0,0,0,0,NA,NA,NA,NA,0,0
"18",1800,155,"CHL",0,0,0,0,0,0,853,NA,44.8217317487267,NA,0,0
"19",1800,160,"ARG",0.2,0,0,0,0,0.2,1484,NA,-82.4441026854371,NA,0,0
"20",1800,165,"URY",0,0,0,0,0,0,1838,NA,-96.5330566820711,NA,0,NA
"21",1800,200,"GBR",0.2,0,0,0,0,0.2,3302,NA,-17.1025396541018,0,1,0
"22",1800,205,"IRL",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,NA
"23",1800,210,"NLD",0.6,0,0,0,0.6,0,4264.52764,NA,-2.8917033182612,NA,1,0
"24",1800,211,"BEL",0.4,0,0,0,0,0.4,NA,NA,NA,NA,0,0
"25",1800,220,"FRA",0.5,0.2,0,0,0,0,NA,NA,NA,0,1,0
"26",1800,225,"CHE",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,NA
"27",1800,230,"ESP",0.2,0,0,0,0,0.2,NA,NA,NA,0,1,NA
"28",1800,235,"PRT",0.4,0,0.2,0,0,0.2,1432.36512,NA,-18.6292704354693,0,1,0
"29",1800,255,"DEU",0.2,0,0,0,0,0.2,1572,NA,-95.7655425061955,0,1,0
"30",1800,290,"POL",0.4,0,0,0,0,0.4,902,NA,-87.8272604588394,NA,0,0
"31",1800,305,"AUT",1.4,0,0.6,0,0.6,0.2,NA,NA,NA,0,1,0
"32",1800,310,"HUN",0,0,0,0,0,0,NA,NA,NA,NA,0,0
"33",1800,325,"ITA",0.2,0,0,0,0,0.2,2474.60162,NA,-17.3409253450816,NA,1,0
"34",1800,350,"GRC",0,0,0,0,0,0,NA,NA,NA,NA,0,0
"35",1800,360,"ROU",0.2,0,0,0,0,0.2,NA,NA,NA,NA,0,0
"36",1800,365,"RUS",0,0,0,0,0,0,NA,NA,NA,0,1,0
"37",1800,375,"FIN",0,0,0,0,0,0,1213,NA,-85.3502415458937,NA,0,0
"38",1800,380,"SWE",0.2,0,0,0,0,0.2,1370.2,NA,-18.2886677464425,0,1,0
"39",1800,385,"NOR",0.2,0,0,0,0,0.2,NA,NA,NA,NA,0,0
"40",1800,390,"DNK",0.2,0,0,0,0,0.2,NA,NA,NA,0,1,0
"41",1800,395,"ISL",NA,0,0,NA,NA,0,NA,NA,NA,NA,0,NA
"42",1800,437,"CIV",0,0,0,0,0,0,NA,NA,NA,NA,0,NA
"43",1800,452,"GHA",0,0,0,0,0,0,NA,NA,NA,NA,0,NA
"44",1800,475,"NGA",0,0,0,0,0,0,NA,NA,NA,NA,0,NA
"45",1800,482,"CAF",0,0,0,0,0,0,NA,NA,NA,NA,0,NA
"46",1800,501,"KEN",0,0,0,0,0,0,NA,NA,NA,NA,0,0
"47",1800,540,"AGO",0,0,0,0,0,0,NA,NA,NA,NA,0,0
"48",1800,551,"ZMB",0,0,0,0,0,0,NA,NA,NA,NA,0,NA
"49",1800,552,"ZWE",0,0,0,0,0,0,NA,NA,NA,NA,0,NA
"50",1800,560,"ZAF",0,0,0,0,0,0,1495.5,NA,-97.6737817401756,NA,0,0
"51",1800,590,"MUS",0,0,0,0,0,0,NA,NA,NA,NA,0,0
"52",1800,600,"MAR",0,0,0,0,0,0,NA,NA,NA,0,0,NA
"53",1800,615,"DZA",0,0,0,0,0,0,NA,NA,NA,NA,0,0
"54",1800,616,"TUN",0,0,0,0,0,0,NA,NA,NA,NA,0,0
"55",1800,640,"TUR",0.2,0,0,0,0,0.2,NA,NA,NA,0,1,NA
"56",1800,651,"EGY",0,0,0,0,0,0,NA,NA,NA,NA,0,0
"57",1800,710,"CHN",0,0,0,0,0,0,926.259,NA,-95.7307383849558,0,1,NA
"58",1800,713,"TWN",0,0,0,0,0,0,NA,NA,NA,NA,0,NA
"59",1800,732,"KOR",0.2,0,0,0,0,0.2,NA,NA,NA,NA,0,NA
"60",1800,740,"JPN",0,0,0,0,0,0,1316.76,NA,-96.0591280409348,0,1,0
"61",1800,750,"IND",0.4,0,0,0,0,0.4,1033,NA,NA,NA,0,0
"62",1800,775,"MMR",0,0,0,0,0,0,NA,NA,NA,NA,0,NA
"63",1800,780,"LKA",0,0,0,0,0,0,NA,NA,NA,NA,0,0
"64",1800,800,"THA",0,0,0,0,0,0,NA,NA,NA,0,1,0
"65",1800,820,"MYS",0,0,0,0,0,0,NA,NA,NA,NA,0,0
"66",1800,830,"SGP",0,0,0,0,0,0,NA,NA,NA,NA,0,0
"67",1800,840,"PHL",0,0,0,0,0,0,NA,NA,NA,NA,0,0
"68",1800,850,"IDN",0,0,0,0,0,0,NA,NA,NA,NA,0,0
"69",1800,900,"AUS",0,0,0,0,0,0,NA,NA,NA,NA,0,0
"70",1800,920,"NZL",0,0,0,0,0,0,NA,NA,NA,NA,0,0
"71",1805,2,"USA",0,0,0,0,0,0,2646.02192,NA,0.575619643524868,1,1,0
"72",1805,20,"CAN",0,0,0,0,0,0,NA,NA,NA,NA,0,0
"73",1805,42,"DOM",0,0,0,0,0,0,NA,NA,NA,NA,0,0
"74",1805,70,"MEX",0.2,0,0,0,0,0.2,1170.2,NA,-2.17158998147612,NA,0,0
