"","X","cc3","year","gold_standard","independence","banking_crisis","systemic_crisis","domestic_debt_in_default","currency_crises","inflation_crises","external_default_ex_1975","external_default_in_1975","crisis_tally","cown","cowcodes","iso3c","iso3n","country_name","democracy","country","gdppc","pop","percent_growth","log_gdppc","gdppc_impute","pop_impute","percent_growth_impute"
"1",1,"DZA",1800,0,0,0,0,0,0,0,0,0,0,615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1462,5137.877064,-7.04824976348155
"2",2,"DZA",1801,0,0,0,0,0,0,0,0,0,0,615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,853,4592.487037,2.02830188679245
"3",3,"DZA",1802,0,0,0,0,0,0,0,0,0,0,615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3894,5019.203153,4.98727735368955
"4",4,"DZA",1803,0,0,0,0,0,0,0,0,0,0,615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3545,5235.17679,-2.28136882129278
"5",5,"DZA",1804,0,0,0,0,0,0,0,0,0,0,615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3207,5189.259021,8.10810810810811
"6",6,"DZA",1805,0,0,0,0,0,0,0,0,0,0,615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3971.2184,5137.877064,-17.203405753807
"7",7,"DZA",1806,0,0,0,0,0,0,0,0,0,0,615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1250,5189.259021,-6.85010031527658
"8",8,"DZA",1807,0,0,0,0,0,0,0,0,0,0,615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2445.8522,5235.17679,-6.85010031527658
"9",9,"DZA",1808,0,0,0,0,0,0,0,0,0,0,615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1421.007,2511,1.80555555555556
"10",10,"DZA",1809,0,0,0,0,0,0,0,0,0,0,615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,818,5189.259021,-2.31532524807056
"11",11,"DZA",1810,0,0,0,0,0,0,0,0,0,0,615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1685,5189.259021,-4.58871515975527
