"","X","cc3","year","gold_standard","independence","banking_crisis","systemic_crisis","domestic_debt_in_default","currency_crises","inflation_crises","external_default_ex_1975","external_default_in_1975","crisis_tally","cown","cowcodes","iso3c","iso3n","country_name","democracy","country","gdppc","pop","percent_growth","log_gdppc"
"1",71,"DZA",1870,0,0,1,1,0,0,0,0,0,2,615,NA,NA,NA,NA,NA,"Algeria",1140,3776,NA,7.03966034986208
"2",72,"DZA",1871,0,0,0,0,0,0,0,0,0,0,615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",73,"DZA",1872,0,0,0,0,0,0,0,0,0,0,615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",74,"DZA",1873,0,0,0,0,0,0,0,0,0,0,615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",75,"DZA",1874,0,0,0,0,0,0,0,0,0,0,615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",76,"DZA",1875,0,0,0,0,0,0,0,0,0,0,615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",77,"DZA",1876,0,0,0,0,0,0,0,0,0,0,615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",78,"DZA",1877,0,0,0,0,0,0,1,0,0,1,615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",79,"DZA",1878,1,0,0,0,0,0,0,0,0,0,615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",80,"DZA",1879,1,0,0,0,0,0,0,0,0,0,615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",81,"DZA",1880,1,0,0,0,0,0,0,0,0,0,615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",82,"DZA",1881,1,0,0,0,0,0,0,0,0,0,615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",83,"DZA",1882,1,0,0,0,0,0,0,0,0,0,615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",84,"DZA",1883,1,0,0,0,0,0,0,0,0,0,615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",85,"DZA",1884,1,0,0,0,0,0,0,0,0,0,615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",86,"DZA",1885,1,0,0,0,0,0,0,0,0,0,615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",87,"DZA",1886,1,0,0,0,0,0,0,0,0,0,615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",88,"DZA",1887,1,0,0,0,0,0,0,0,0,0,615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",89,"DZA",1888,1,0,0,0,0,0,0,0,0,0,615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",90,"DZA",1889,1,0,0,0,0,0,0,0,0,0,615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",91,"DZA",1890,1,0,0,0,0,0,0,0,0,0,615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",92,"DZA",1891,1,0,0,0,0,0,0,0,0,0,615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",93,"DZA",1892,1,0,0,0,0,0,0,0,0,0,615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",94,"DZA",1893,1,0,0,0,0,0,0,0,0,0,615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",95,"DZA",1894,1,0,0,0,0,0,0,0,0,0,615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",96,"DZA",1895,1,0,0,0,0,0,0,0,0,0,615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",97,"DZA",1896,1,0,0,0,0,0,0,0,0,0,615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",98,"DZA",1897,1,0,0,0,0,0,0,0,0,0,615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",99,"DZA",1898,1,0,0,0,0,0,0,0,0,0,615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",100,"DZA",1899,1,0,0,0,0,0,0,0,0,0,615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",101,"DZA",1900,1,0,0,0,0,0,0,0,0,0,615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",102,"DZA",1901,1,0,0,0,0,0,0,0,0,0,615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",103,"DZA",1902,1,0,0,0,0,0,0,0,0,0,615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",104,"DZA",1903,1,0,0,0,0,0,0,0,0,0,615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",105,"DZA",1904,1,0,0,0,0,0,0,0,0,0,615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
