"","case","cc3","country","year","gold_standard","independence","banking_crisis","systemic_crisis","domestic_debt_in_default","currency_crises","inflation_crises","external_default_ex_1975","external_default_in_1975","crisis_tally","cown","country_name"
"1",1,"DZA","Algeria",1800,0,0,0,0,0,0,0,0,0,0,615,"Algeria"
"2",1,"DZA","Algeria",1801,0,0,0,0,0,0,0,0,0,0,615,"Algeria"
"3",1,"DZA","Algeria",1802,0,0,0,0,0,0,0,0,0,0,615,"Algeria"
"4",1,"DZA","Algeria",1803,0,0,0,0,0,0,0,0,0,0,615,"Algeria"
"5",1,"DZA","Algeria",1804,0,0,0,0,0,0,0,0,0,0,615,"Algeria"
"6",1,"DZA","Algeria",1805,0,0,0,0,0,0,0,0,0,0,615,"Algeria"
"7",1,"DZA","Algeria",1806,0,0,0,0,0,0,0,0,0,0,615,"Algeria"
"8",1,"DZA","Algeria",1807,0,0,0,0,0,0,0,0,0,0,615,"Algeria"
"9",1,"DZA","Algeria",1808,0,0,0,0,0,0,0,0,0,0,615,"Algeria"
"10",1,"DZA","Algeria",1809,0,0,0,0,0,0,0,0,0,0,615,"Algeria"
"11",1,"DZA","Algeria",1810,0,0,0,0,0,0,0,0,0,0,615,"Algeria"
"12",1,"DZA","Algeria",1811,0,0,0,0,0,0,0,0,0,0,615,"Algeria"
"13",1,"DZA","Algeria",1812,0,0,0,0,0,0,0,0,0,0,615,"Algeria"
"14",1,"DZA","Algeria",1813,0,0,0,0,0,0,0,0,0,0,615,"Algeria"
"15",1,"DZA","Algeria",1814,0,0,0,0,0,0,0,0,0,0,615,"Algeria"
"16",1,"DZA","Algeria",1815,0,0,0,0,0,0,0,0,0,0,615,"Algeria"
"17",1,"DZA","Algeria",1816,0,0,0,0,0,0,0,0,0,0,615,"Algeria"
"18",1,"DZA","Algeria",1817,0,0,0,0,0,0,0,0,0,0,615,"Algeria"
"19",1,"DZA","Algeria",1818,0,0,0,0,0,0,0,0,0,0,615,"Algeria"
"20",1,"DZA","Algeria",1819,0,0,0,0,0,0,0,0,0,0,615,"Algeria"
"21",1,"DZA","Algeria",1820,0,0,0,0,0,0,0,0,0,0,615,"Algeria"
"22",1,"DZA","Algeria",1821,0,0,0,0,0,0,0,0,0,0,615,"Algeria"
"23",1,"DZA","Algeria",1822,0,0,0,0,0,0,0,0,0,0,615,"Algeria"
"24",1,"DZA","Algeria",1823,0,0,0,0,0,0,0,0,0,0,615,"Algeria"
"25",1,"DZA","Algeria",1824,0,0,0,0,0,0,0,0,0,0,615,"Algeria"
"26",1,"DZA","Algeria",1825,0,0,0,0,0,0,0,0,0,0,615,"Algeria"
"27",1,"DZA","Algeria",1826,0,0,0,0,0,0,0,0,0,0,615,"Algeria"
"28",1,"DZA","Algeria",1827,0,0,0,0,0,0,0,0,0,0,615,"Algeria"
"29",1,"DZA","Algeria",1828,0,0,0,0,0,0,0,0,0,0,615,"Algeria"
"30",1,"DZA","Algeria",1829,0,0,0,0,0,0,0,0,0,0,615,"Algeria"
"31",1,"DZA","Algeria",1830,0,0,0,0,0,0,0,0,0,0,615,"Algeria"
"32",1,"DZA","Algeria",1831,0,0,0,0,0,0,0,0,0,0,615,"Algeria"
"33",1,"DZA","Algeria",1832,0,0,0,0,0,0,0,0,0,0,615,"Algeria"
"34",1,"DZA","Algeria",1833,0,0,0,0,0,0,0,0,0,0,615,"Algeria"
"35",1,"DZA","Algeria",1834,0,0,0,0,0,0,0,0,0,0,615,"Algeria"
"36",1,"DZA","Algeria",1835,0,0,0,0,0,0,0,0,0,0,615,"Algeria"
"37",1,"DZA","Algeria",1836,0,0,0,0,0,0,0,0,0,0,615,"Algeria"
"38",1,"DZA","Algeria",1837,0,0,0,0,0,0,0,0,0,0,615,"Algeria"
"39",1,"DZA","Algeria",1838,0,0,0,0,0,0,0,0,0,0,615,"Algeria"
"40",1,"DZA","Algeria",1839,0,0,0,0,0,0,0,0,0,0,615,"Algeria"
"41",1,"DZA","Algeria",1840,0,0,0,0,0,0,0,0,0,0,615,"Algeria"
"42",1,"DZA","Algeria",1841,0,0,0,0,0,0,0,0,0,0,615,"Algeria"
"43",1,"DZA","Algeria",1842,0,0,0,0,0,0,0,0,0,0,615,"Algeria"
"44",1,"DZA","Algeria",1843,0,0,0,0,0,0,0,0,0,0,615,"Algeria"
"45",1,"DZA","Algeria",1844,0,0,0,0,0,0,0,0,0,0,615,"Algeria"
"46",1,"DZA","Algeria",1845,0,0,0,0,0,0,0,0,0,0,615,"Algeria"
"47",1,"DZA","Algeria",1846,0,0,0,0,0,0,0,0,0,0,615,"Algeria"
"48",1,"DZA","Algeria",1847,0,0,0,0,0,0,0,0,0,0,615,"Algeria"
"49",1,"DZA","Algeria",1848,0,0,0,0,0,0,0,0,0,0,615,"Algeria"
"50",1,"DZA","Algeria",1849,0,0,0,0,0,0,0,0,0,0,615,"Algeria"
"51",1,"DZA","Algeria",1850,0,0,0,0,0,0,0,0,0,0,615,"Algeria"
"52",1,"DZA","Algeria",1851,0,0,0,0,0,0,0,0,0,0,615,"Algeria"
"53",1,"DZA","Algeria",1852,0,0,0,0,0,0,0,0,0,0,615,"Algeria"
"54",1,"DZA","Algeria",1853,0,0,0,0,0,0,0,0,0,0,615,"Algeria"
"55",1,"DZA","Algeria",1854,0,0,0,0,0,0,0,0,0,0,615,"Algeria"
"56",1,"DZA","Algeria",1855,0,0,0,0,0,0,0,0,0,0,615,"Algeria"
"57",1,"DZA","Algeria",1856,0,0,0,0,0,0,0,0,0,0,615,"Algeria"
"58",1,"DZA","Algeria",1857,0,0,0,0,0,0,0,0,0,0,615,"Algeria"
"59",1,"DZA","Algeria",1858,0,0,0,0,0,0,0,0,0,0,615,"Algeria"
"60",1,"DZA","Algeria",1859,0,0,0,0,0,0,0,0,0,0,615,"Algeria"
"61",1,"DZA","Algeria",1860,0,0,0,0,0,0,0,0,0,0,615,"Algeria"
"62",1,"DZA","Algeria",1861,0,0,0,0,0,0,0,0,0,0,615,"Algeria"
"63",1,"DZA","Algeria",1862,0,0,0,0,0,0,0,0,0,0,615,"Algeria"
"64",1,"DZA","Algeria",1863,0,0,0,0,0,0,0,0,0,0,615,"Algeria"
"65",1,"DZA","Algeria",1864,0,0,0,0,0,0,0,0,0,0,615,"Algeria"
"66",1,"DZA","Algeria",1865,0,0,0,0,0,0,0,0,0,0,615,"Algeria"
"67",1,"DZA","Algeria",1866,0,0,0,0,0,0,0,0,0,0,615,"Algeria"
"68",1,"DZA","Algeria",1867,0,0,0,0,0,0,0,0,0,0,615,"Algeria"
"69",1,"DZA","Algeria",1868,0,0,0,0,0,0,0,0,0,0,615,"Algeria"
"70",1,"DZA","Algeria",1869,0,0,0,0,0,0,0,0,0,0,615,"Algeria"
"71",1,"DZA","Algeria",1870,0,0,1,1,0,0,0,0,0,2,615,"Algeria"
"72",1,"DZA","Algeria",1871,0,0,0,0,0,0,0,0,0,0,615,"Algeria"
"73",1,"DZA","Algeria",1872,0,0,0,0,0,0,0,0,0,0,615,"Algeria"
"74",1,"DZA","Algeria",1873,0,0,0,0,0,0,0,0,0,0,615,"Algeria"
"75",1,"DZA","Algeria",1874,0,0,0,0,0,0,0,0,0,0,615,"Algeria"
"76",1,"DZA","Algeria",1875,0,0,0,0,0,0,0,0,0,0,615,"Algeria"
"77",1,"DZA","Algeria",1876,0,0,0,0,0,0,0,0,0,0,615,"Algeria"
"78",1,"DZA","Algeria",1877,0,0,0,0,0,0,1,0,0,1,615,"Algeria"
"79",1,"DZA","Algeria",1878,1,0,0,0,0,0,0,0,0,0,615,"Algeria"
"80",1,"DZA","Algeria",1879,1,0,0,0,0,0,0,0,0,0,615,"Algeria"
"81",1,"DZA","Algeria",1880,1,0,0,0,0,0,0,0,0,0,615,"Algeria"
"82",1,"DZA","Algeria",1881,1,0,0,0,0,0,0,0,0,0,615,"Algeria"
"83",1,"DZA","Algeria",1882,1,0,0,0,0,0,0,0,0,0,615,"Algeria"
"84",1,"DZA","Algeria",1883,1,0,0,0,0,0,0,0,0,0,615,"Algeria"
"85",1,"DZA","Algeria",1884,1,0,0,0,0,0,0,0,0,0,615,"Algeria"
"86",1,"DZA","Algeria",1885,1,0,0,0,0,0,0,0,0,0,615,"Algeria"
"87",1,"DZA","Algeria",1886,1,0,0,0,0,0,0,0,0,0,615,"Algeria"
"88",1,"DZA","Algeria",1887,1,0,0,0,0,0,0,0,0,0,615,"Algeria"
"89",1,"DZA","Algeria",1888,1,0,0,0,0,0,0,0,0,0,615,"Algeria"
"90",1,"DZA","Algeria",1889,1,0,0,0,0,0,0,0,0,0,615,"Algeria"
"91",1,"DZA","Algeria",1890,1,0,0,0,0,0,0,0,0,0,615,"Algeria"
"92",1,"DZA","Algeria",1891,1,0,0,0,0,0,0,0,0,0,615,"Algeria"
"93",1,"DZA","Algeria",1892,1,0,0,0,0,0,0,0,0,0,615,"Algeria"
